epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
1,0.4952380955219269,0.4983106851577759,0.6935875415802002,0.5,0.5450617074966431,0.692592442035675,0.0005000000237487257
2,0.49761903285980225,0.5322788953781128,0.6927791237831116,0.5777778029441833,0.5555555820465088,0.6924317479133606,0.0005000000237487257
3,0.5285714268684387,0.5344671010971069,0.6926646828651428,0.5111111402511597,0.5833333134651184,0.6925114393234253,0.0005000000237487257
4,0.4952380955219269,0.5043084025382996,0.69310462474823,0.5,0.5435802936553955,0.692528247833252,0.0005000000237487257
5,0.5047619342803955,0.5598299503326416,0.6924570798873901,0.5,0.6000000238418579,0.6924399733543396,0.0002500000118743628
